z_km,T_K,p_Pa,rho_air_kg_m3,n_air_molec_m3,O3_vmr_ppmv,n_O3_molec_m3,u_O3_molec_m2,delta_tau_SW_vert,delta_tau_SW_sun(mu0=0.6),delta_tau_LW
33,231.45000000000002,748.2912357796617,0.01126273394229231,2.3416942571454594e+23,5.8491922965895276,1.3697020009863158e+18,1.3697020009863158e+21,1.3697020009863157,2.282836668310526,0.004109106002958948
34,234.25,646.1782514675155,0.009609550837442346,1.997972261893466e+23,5.375814486867795,1.0740728229846911e+18,1.074072822984691e+21,1.074072822984691,1.7901213716411517,0.003222218468954073
35,237.05,558.9733926351387,0.008214507444848364,1.7079214520595298e+23,4.892245277701067,8.355570658522584e+17,8.355570658522585e+20,0.8355570658522584,1.392595109753764,0.0025066711975567754
36,239.85,484.36111914280775,0.007034931979424975,1.4626697123483242e+23,4.408595413117675,6.44831898476497e+17,6.448318984764971e+20,0.644831898476497,1.0747198307941617,0.0019344956954294912
37,242.65,420.40666149749524,0.006035588810790086,1.254891017503867e+23,3.9340180476797735,4.936763910731447e+17,4.936763910731447e+20,0.49367639107314465,0.8227939851219078,0.001481029173219434
38,245.45000000000002,365.49000849107773,0.005187317420587294,1.078522450767185e+23,3.476458865685913,3.749438935810879e+17,3.749438935810879e+20,0.3749438935810879,0.6249064893018131,0.0011248316807432636
39,248.25,318.2519155776452,0.004465932149992626,9.28535444592995e+22,3.042488790811197,2.8250586820450784e+17,2.8250586820450782e+20,0.2825058682045078,0.4708431136741797,0.0008475176046135234
40,251.05,277.54964227306965,0.0038513305766789004,8.007503986143279e+22,2.637219738866798,2.111754757131162e+17,2.1117547571311618e+20,0.21117547571311615,0.3519591261885269,0.0006335264271393486
41,253.85,242.42058295016463,0.0033267692222150504,6.916860881580667e+22,2.2642984036255527,1.566183705226314e+17,1.566183705226314e+20,0.1566183705226314,0.261030617537719,0.0004698551115678942
42,256.65,212.05231698487967,0.0028782738032936913,5.9843704647552495e+22,1.9259686124469086,1.1525709680372928e+17,1.1525709680372928e+20,0.11525709680372927,0.1920951613395488,0.0003457712904111878
43,259.45,185.75789162515437,0.002494157929976997,5.185734947630496e+22,1.6231895926689173,8.417430997333314e+16,8.417430997333313e+19,0.08417430997333313,0.1402905166222219,0.0002525229299199994
44,262.25,162.95538000799525,0.0021646294258559737,4.5005949011553505e+22,1.3557956526172392,6.101887001177738e+16,6.101887001177738e+19,0.061018870011777374,0.10169811668629562,0.00018305661003533214
45,265.05,143.15093975464325,0.001881467610266968,3.911858275745285e+22,1.1226822658929014,4.391773912865615e+16,4.391773912865615e+19,0.043917739128656146,0.07319623188109357,0.00013175321738596846
46,267.85,125.92474414810184,0.0016377581822791733,3.4051491846353255e+22,0.9220042024358818,3.139561858154886e+16,3.139561858154886e+19,0.03139561858154886,0.0523260309692481,9.418685574464658e-05
47,270.65,110.91927557768754,0.0014276749666131336,2.9683541203388056e+22,0.7513729396750904,2.2303409613956356e+16,2.2303409613956354e+19,0.02230340961395635,0.03717234935659392,6.691022884186906e-05
48,270.65,97.76614803631514,0.001258377152273057,2.6163581292954914e+22,0.6080428299170961,1.5908578010134302e+16,1.5908578010134303e+19,0.015908578010134303,0.026514296683557172,4.772573403040291e-05
49,270.65,86.17275628674781,0.001109155160939334,2.3061028378747762e+22,0.4890781026730698,1.1278644005167772e+16,1.1278644005167772e+19,0.01127864400516777,0.01879774000861295,3.383593201550331e-05
50,270.65,75.95414236118773,0.0009776283436298532,2.0326385135532292e+22,0.3914954689872593,7957687681450870.0,7.95768768145087e+18,0.00795768768145087,0.013262812802418117,2.387306304435261e-05
