Wavelength(nm),I[w/(m^2*lambda)]
447.0,2.0220693722897103
448.0,2.06765257294401
449.0,2.096848553375
450.0,2.069523290666262
451.0,2.2182285890400655
452.0,2.10440815132407
453.0,1.9333018916314386
454.0,2.042699765678071
455.0,2.012689268650103
456.0,2.1071255999688083
457.0,2.0724362895761117
458.0,2.088485840608349
459.0,2.049100709456385
460.0,2.040640981250529
461.0,2.118860393839779
462.0,2.1360953248089647
463.0,2.1323233541221867
464.0,2.079010561455642
465.0,2.023000106547027
466.0,2.0551939133615633
467.0,1.9356128477823813
468.0,2.0155191951259583
469.0,2.0404841148933364
470.0,1.9791177991626163
471.0,2.002990408589175
472.0,2.079903297995099
473.0,2.0362488335995526
474.0,2.0802847987056183
475.0,2.1335041121069254
476.0,2.056391591230456
477.0,2.0259227186689417
478.0,2.173733670383825
479.0,2.086839185360257
480.0,2.1622213577055978
481.0,2.102042578211476
482.0,2.1524175522885685
483.0,2.1087972943736877
484.0,2.0654439713656596
485.0,2.0827303026487884
486.0,1.6255655522106753
487.0,1.8158930628368122
488.0,2.015352502057633
489.0,1.8772431506217122
490.0,2.1039236343529413
491.0,2.0355790519262293
492.0,1.911442112563544
493.0,2.041077362264885
494.0,1.9841592140785942
495.0,2.113922833067124
496.0,2.0158291715428147
497.0,2.055721737100519
498.0,2.011695006140873
499.0,1.985657618125
500.0,1.9535882881500002
501.0,1.8566874918298193
502.0,1.7931868369732864
503.0,1.921429684065267
504.0,1.8094722328938009
505.0,1.9269174208133606
506.0,2.0288391320384123
507.0,1.902106387920843
508.0,1.8449326700051611
509.0,1.9577063741461518
510.0,1.9006053666007803
511.0,1.8967509788642298
512.0,1.9689219306266386
513.0,1.8397888323736842
514.0,1.7889305255984147
515.0,1.8481922934181916
516.0,1.8826426048455804
517.0,1.4420632349077789
518.0,1.757376871545479
519.0,1.661565153275862
520.0,1.8482336319794486
521.0,1.7999755072231272
522.0,1.8697755985149864
523.0,1.7376543789770242
524.0,1.913503300612301
525.0,1.8977812433213892
526.0,1.8938775798478562
527.0,1.617998771536111
528.0,1.8660229389545582
529.0,1.9423859624062674
530.0,1.8634687401657302
531.0,1.9856369382148902
532.0,1.937207935885682
533.0,1.7479390702386364
534.0,1.879696204414029
535.0,1.89159376503006
536.0,1.9624616464607874
537.0,1.7990452891782007
538.0,1.8882145574095512
539.0,1.8776198503108654
540.0,1.8471554430562844
541.0,1.7447553771729587
542.0,1.879706909103995
543.0,1.8199821178773585
544.0,1.890142403071915
545.0,1.8678565841919192
546.0,1.8486009915707897
547.0,1.903503548327349
548.0,1.8049380052132133
549.0,1.896954147830018
550.0,1.8744742431064731
551.0,1.8595034287397507
552.0,1.8998941864320535
553.0,1.8372065537706423
554.0,1.8874752017434009
555.0,1.9141126716476748
556.0,1.87800919355796
557.0,1.8023972171144895
558.0,1.8718823365660024
559.0,1.771989883190625
560.0,1.7690870191063028
561.0,1.9217253042524394
562.0,1.8127399846367658
563.0,1.8678422969540411
564.0,1.8325375602862597
565.0,1.870148406216475
566.0,1.7698223630108905
567.0,1.8700483518553053
568.0,1.8637020078677418
569.0,1.8361589032016836
570.0,1.8415808572612087
571.0,1.7541653010140201
572.0,1.8656866561780105
573.0,1.8728915411687457
574.0,1.8782749887215815
575.0,1.8443369428396696
576.0,1.8039620677040478
577.0,1.8685665077289377
578.0,1.8188203255444222
579.0,1.8040812538598259
580.0,1.8529531753985875
581.0,1.8287940599932502
582.0,1.844804603285908
583.0,1.8628832989598914
584.0,1.86010849957367
585.0,1.8540774426762494
586.0,1.7709921923351648
587.0,1.8361500864162648
588.0,1.8577661185758725
589.0,1.6727103955065927
590.0,1.6916056385485554
591.0,1.793494989979043
592.0,1.7869468158149318
593.0,1.7988476911568214
594.0,1.8054550595518701
595.0,1.78225512879646
596.0,1.8098867059182948
597.0,1.8222509605060586
598.0,1.8032642520922744
599.0,1.770031907090061
600.0,1.782319670788337
601.0,1.775566638143734
602.0,1.7289434760819136
603.0,1.754208502218182
604.0,1.7811735982196275
605.0,1.79721133636164
606.0,1.7708574187440325
607.0,1.7710647716285923
608.0,1.751656023292683
609.0,1.7336430463501482
610.0,1.7042706200855977
611.0,1.7459029791078762
612.0,1.7207943937602996
613.0,1.7436442525967681
614.0,1.6729772759705994
615.0,1.7413214958131622
616.0,1.6697081775559772
617.0,1.6633997493985535
618.0,1.708935008922842
619.0,1.6946920091800768
620.0,1.728814505355632
621.0,1.7538742948997688
622.0,1.6940401847020126
623.0,1.683233814726426
624.0,1.6982682410436136
625.0,1.652131008214844
626.0,1.6453695759952978
627.0,1.682675990797956
628.0,1.6895146162682448
629.0,1.7051066332594937
630.0,1.660817732489083
631.0,1.7070633321616242
632.0,1.6259990712105472
633.0,1.6989589413741988
634.0,1.653068515590836
635.0,1.6747980309153225
636.0,1.6394820806189319
637.0,1.6690540636348883
638.0,1.6838678716123778
639.0,1.6890267869906084
640.0,1.6316361583660932
641.0,1.6415024502136402
642.0,1.629644132497939
643.0,1.6582902914350701
644.0,1.6487288231550579
645.0,1.6533189843528922
646.0,1.6140911383062162
647.0,1.6381699210092129
648.0,1.6360761711880771
649.0,1.6516625074936815
650.0,1.5245410775918884
651.0,1.6297198182754238
652.0,1.6065596213222788
653.0,1.6064137600980812
654.0,1.6066512136313087
655.0,1.5721224888288288
656.0,1.3205405966437176
657.0,1.4120590897841108
658.0,1.561941331008658
659.0,1.559372968336952
660.0,1.5700008804749455
661.0,1.5689460334818701
662.0,1.587600426809816
663.0,1.5769897387384617
664.0,1.5521548252777777
665.0,1.563343994542238
666.0,1.572920562878049
667.0,1.5483825490925267
668.0,1.5470005686434627
669.0,1.5664022277573861
670.0,1.5483586216113108
671.0,1.536390418658262
672.0,1.5126584385636856
673.0,1.5390814209737316
674.0,1.533055258296229
675.0,1.5171899426697038
676.0,1.534634271846435
677.0,1.5147188684142987
678.0,1.5331883198897058
679.0,1.5194667835361917
680.0,1.5155633317853838
681.0,1.5081998780343069
682.0,1.5121425883255815
683.0,1.5107426031731217
684.0,1.4787941791674464
685.0,1.4992053904833411
686.0,1.4707236245411763
687.0,1.5041309825766873
688.0,1.482896162973485
689.0,1.4970518463122922
690.0,1.4910293997333333
691.0,1.4906416374164277
692.0,1.4689556827381522
693.0,1.470813402137368
694.0,1.479997046849711
695.0,1.4592298965555555
696.0,1.4738287340048424
697.0,1.4717726675364433
698.0,1.4270300011105697
699.0,1.4626593632795697
700.0,1.4515208071337578
701.0,1.421953462928747
702.0,1.418038027289305
703.0,1.428177700805336
704.0,1.4281010817542121
705.0,1.4456147013767395
706.0,1.4319513203688934
707.0,1.425641325485
708.0,1.4439623921954885
709.0,1.40119226360804
710.0,1.4246138859001511
711.0,1.417614262142496
712.0,1.39910213923428
713.0,1.4008905306914081
714.0,1.4146623579714577
715.0,1.386929217576687
716.0,1.4082702447001538
717.0,1.379157492421594
718.0,1.378505831314433
719.0,1.3603692109617371
720.0,1.3606344157335406
721.0,1.3625460986538462
722.0,1.3683805474504693
723.0,1.3722988623418713
724.0,1.376943491850105
725.0,1.368542381719243
726.0,1.3640171760168598
727.0,1.3778930138002117
728.0,1.3581563289395544
729.0,1.3193001118012753
730.0,1.353538044405967
731.0,1.3382747682362373
732.0,1.355192874142551
733.0,1.333443238984417
734.0,1.3580789448088315
735.0,1.3379537601998919
736.0,1.3251792497833155
737.0,1.3382206528788703
738.0,1.3301813583769062
739.0,1.2912022679027853
740.0,1.3058134060624318
741.0,1.2919695117847336
742.0,1.2835474749312052
743.0,1.3079263258531197
744.0,1.3153012587216382
745.0,1.2918632359466964
746.0,1.3032075533555927
747.0,1.316481857466518
748.0,1.3015912703691275
749.0,1.3007360004377104
750.0,1.2835022232845894
751.0,1.2698288440721939
752.0,1.291940024802036
753.0,1.2761249077154193
754.0,1.295356372268334
755.0,1.284203998654504
756.0,1.2712916505485716
757.0,1.2735591333008598
758.0,1.2744545520287356
759.0,1.251662948168203
760.0,1.2742821059006926
761.0,1.2698544842584008
762.0,1.2401875669297737
763.0,1.2709192365346533
764.0,1.2655624274387398
765.0,1.2649659692857143
766.0,1.2080093984985336
767.0,1.211833314255444
768.0,1.246492700288915
769.0,1.231578410342992
770.0,1.2281618270996444
771.0,1.2326831660011883
772.0,1.2168602469189511
773.0,1.2217634150567842
774.0,1.2251880736189333
775.0,1.1992166835255256
776.0,1.2281820444310656
777.0,1.2231669265277778
778.0,1.1989381722094432
